stop_id,stop_name,stop_lat,stop_lon,stop_code
2006,Brama Oliwska 02,54.361922095845,18.641678937666,2006
2027,Wojska Polskiego 01,54.38706156812,18.590454097109,2027
2028,Zamenhofa 02,54.386902830459,18.585210921036,2028
2029,Zamenhofa 01,54.386914323969,18.584886779062,2029
2031,Wilka-Krzyżanowskiego 01,54.388502436884,18.581589487045,2031
2034,Strzyża PKM 02,54.391112886107,18.577723343256,2034
2036,Uniwersytet Gdański 02,54.395719099722,18.571628182397,2036
2040,Tetmajera 02,54.402708200196,18.565575343444,2040
2042,Derdowskiego 02,54.405581123618,18.563602095556,2042
2052,Pomorska - Osiedle 02,54.418341043004,18.578059662638,2052
2057,Helska 01,54.421586558586,18.588397476701,2057
2061,Plac Solidarności 01,54.360637117356,18.647694326707,2061
2063,Stocznia SKM 01,54.36420906631,18.643241246816,2063
2064,Stocznia SKM 02,54.364576002553,18.642696811946,2064
2065,Stocznia Północna 01,54.371945034387,18.633836750637,2065
2069,Politechnika SKM 01,54.375402996811,18.626354221785,2069
2070,Politechnika SKM 02,54.375362939336,18.62660291294,2070
2080,Legionów 02,54.386970244401,18.610729991159,2080
2085,Jana Pawła II 01,54.394636898493,18.601579909985,2085
2087,Startowa 01,54.397028811094,18.597542357952,2087
2088,Startowa 02,54.396704536071,18.597961892787,2088
2184,Dworska 02,54.40419837594,18.624120684931,2184
2207,Śródmieście SKM 02,54.347771569795,18.643951486145,2207
2213,Odrzańska 02,54.345429629167,18.625835962145,2213
2219,Chełm Witosa 02,54.337318933533,18.616626694858,2219
2222,Cieszyńskiego 01,54.33816558775,18.610346841521,2222
2230,Płocka 01,54.32894799659,18.598884031094,2230
5605,Pruszcz Gdański Matejki 02,54.255655096411,18.633547224632,5605
5606,Pruszcz Gdański Matejki 01,54.255915868826,18.63400826285,5606
5608,Pruszcz Gdański Nowowiejskiego 01,54.25104565846,18.633212502714,5608
5609,Pruszcz Gdański Urząd Skarbowy 01,54.249351943918,18.638068529934,5609
5811,Pruszcz Gdański Powstanców Warszawy/Drzymały 04,54.256694619377,18.651759349511,5811
5812,Pruszcz Gdański Dąbrowskiego 02,54.258034178477,18.648996103597,5812
5813,Pruszcz Gdański Powstańców Warszawy 01,54.256338553142,18.659333843151,5813
5828,Pruszcz Gdański Kopernika/Sienkiewicza 56,54.262590476037,18.658610972844,5828
5829,Pruszcz Gdański Chopina/Rondo 21,54.260757790309,18.649900625938,5829
5837,Pruszcz Gdański Obrońców Westerplatte 01,54.266051527401,18.656295362251,5837
5841,Pruszcz Gdański Osiedle Piastowskie 01,54.267234375209,18.652404026712,5841
5869,Pruszcz Gdański Osiedle Kasprowicza 01,54.265341867137,18.662340424707,5869
5874,Pruszcz Gdański Fabryczny 01,54.24537743076,18.626583510392,5874
7432,Banino Szkoła 01,54.390823674227,18.411782474317,7432
7982,Banino Pszenna 01,54.393365606136,18.384984874046,7982
7988,Miszewo Przodkowska 02,54.380769016751,18.361805709854,7988
7990,Małkowo Gdyńska 02,54.370871953946,18.363102711755,7990
7998,Żukowo Urząd Gminy 84,54.34212079545,18.357773960797,7998
8231,Gdynia Leśna Polana 02,54.462245435386,18.453385893454,8231
8236,Chwaszczyno 75,54.443431511929,18.420881330369,8236
8237,Chwaszczyno Centrum 02,54.444046911303,18.419809143404,8237
8245,Gdynia Szafranowa 01,54.465798761539,18.461607141014,8245
14429,Pruszcz Gdański Chopina/Waląga 23,54.261833243481,18.639151477309,5843
14430,Pastelowa 01,54.308415749184,18.60027982357,1604
14433,Dwór Ferberów 01,54.305889619182,18.630280766998,1242
14443,Leśna Góra 01,54.373728280057,18.558637139604,192
14444,Leśna Góra - Przychodnia 01,54.373384385829,18.563862144009,1427
14448,Mjr Hubala 01,54.386419745988,18.579047288544,1823
14455,Bażyńskiego 07,54.398921516398,18.567263430418,1813
14457,Pruszcz Gdański Broniewskiego 01,54.264433427977,18.670208635658,5867
14459,Meteorytowa 02,54.411353904535,18.485194952246,1903
14468,Górecka 01,54.35541898484,18.745417532798,1429
14480,Sopot Smolna 01,54.427616944283,18.562787694331,4039
14486,Sopot Okrężna 02,54.447015435105,18.551592953548,4051
14487,Sopot Hotel "Marina" 01,54.43003276094,18.587284452838,4057
14490,Sopot Bitwy pod Płowcami 04,54.438338490728,18.572437721258,4063
14496,Sopot Polna 02,54.434216544374,18.579374267995,4062
14497,Sopot Hestii 02,54.431861526743,18.583429870141,4060
14513,Sopot Bohaterów Monte Cassino 01,54.442179354266,18.56005633278,4005
14519,Sopot Brodwino Szkoła 01,54.456107217553,18.531423966647,4090
