stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
76,,"Makro",,51.960000,15.534370,0,,0,,,0
77,,"Makro",,51.959910,15.534490,0,,0,,,0
79,,"Kostrzyńska",,51.958770,15.539360,0,,0,,,0
80,,"ZAWADZKIEGO ""ZOŚKI""",,51.927770,15.484590,0,,0,,,0
81,,"Zawadzkiego ""Zośki""",,51.928510,15.487180,0,,0,,,0
82,,"Zawadzkiego ""Zośki"" I",,51.926690,15.484360,0,,0,,,0
84,,"Węgierska",,51.936620,15.481200,0,,0,,,0
86,,"Kręta",,51.944500,15.480450,0,,0,,,0
87,,"Działkowa",,51.944390,15.484950,0,,0,,,0
88,,"Rondo PCK/Lisia",,51.941450,15.493400,0,,0,,,0
89,,"Długa",,51.935920,15.499990,0,,0,,,0
90,,"Planetarium",,51.935730,15.506820,0,,0,,,0
91,,"Planetarium",,51.936050,15.507260,0,,0,,,0
92,,"Długa",,51.936100,15.499690,0,,0,,,0
93,,"Rondo PCK/Lisia",,51.940940,15.493820,0,,0,,,0
97,,"Węgierska",,51.935720,15.481530,0,,0,,,0
99,,"WYSPIAŃSKIEGO",,51.946540,15.531420,0,,0,,,0
100,,"Chemiczna",,51.952640,15.483710,0,,0,,,0
101,,"Elektrociepłownia",,51.952020,15.490590,0,,0,,,0
102,,"Zjednoczenia",,51.945580,15.489880,0,,0,,,0
103,,"NAFTOWA",,51.957240,15.470090,0,,0,,,0
106,,"Rzeźniczaka",,51.958410,15.496720,0,,0,,,0
107,,"Źródlana",,51.955010,15.497560,0,,0,,,0
108,,"Liceum Plastyczne",,51.949040,15.501170,0,,0,,,0
109,,"Batorego/Dworcowa",,51.944850,15.502410,0,,0,,,0
110,,"Śródmieście",,51.941750,15.503510,0,,0,,,0
111,,"DWORZEC GŁÓWNY",,51.947200,15.516740,0,,0,,,0
112,,"Batorego/Dworcowa",,51.944050,15.502770,0,,0,,,0
113,,"Liceum Plastyczne",,51.949810,15.500960,0,,0,,,0
114,,"Energetyków",,51.951950,15.493870,0,,0,,,0
115,,"Elektrociepłownia",,51.952480,15.487260,0,,0,,,0
116,,"Wyczółkowskiego",,51.939670,15.465690,0,,0,,,0
117,,"Wyczółkowskiego",,51.939650,15.465770,0,,0,,,0
118,,"Prosta",,51.942290,15.467250,0,,0,,,0
119,,"Agrestowa",,51.943510,15.473800,0,,0,,,0
120,,"Wojska Polskiego",,51.939230,15.481600,0,,0,,,0
121,,"Rondo PCK",,51.939520,15.491620,0,,0,,,0
122,,"Rondo PCK",,51.939860,15.491830,0,,0,,,0
123,,"Wojska Polskiego",,51.939550,15.483650,0,,0,,,0
