route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
102,7069_RO,7069_4098,OSADNICZA,,1,101/4,518579,0,0
102,7069_RO,7069_4099,OSADNICZA,,1,101/2,518579,0,0
102,7069_RO,7069_4106,OSADNICZA,,1,101/4,518579,0,0
102,7069_RO,7069_4107,OSADNICZA,,1,101/2,518579,0,0
12,7069_RO,7069_411,DWORZEC GŁÓWNY,,1,12/1,518496,0,0
102,7069_RO,7069_4112,OSADNICZA,,1,101/2,518578,0,0
102,7069_RO,7069_4114,OSADNICZA,,1,101/4,518578,0,0
102,7069_RO,7069_4119,OSADNICZA,,1,101/2,518578,0,0
19,7069_RO,7069_412,OS. ŚLĄSKIE,,0,19/1,518293,0,0
102,7069_RO,7069_4121,OSADNICZA,,1,101/4,518578,0,0
19,7069_RO,7069_413,OS. CZARKOWO,,1,19/1,518289,0,0
102,7069_RO,7069_4130,OSADNICZA,,1,101/2,518578,0,0
102,7069_RO,7069_4136,OSADNICZA,,1,101/4,518578,0,0
102,7069_RO,7069_4159,OSADNICZA,,1,101/2,518578,0,0
12,7069_RO,7069_416,DWORZEC GŁÓWNY,,1,12/1,518496,0,0
102,7069_RO,7069_4166,OSADNICZA,,1,101/4,518578,0,0
12,7069_RO,7069_417,DWORZEC GŁÓWNY,,1,12/1,518496,0,0
102,7069_RO,7069_4176,OSADNICZA,,1,101/2,518578,0,0
102,7069_RO,7069_4179,OSADNICZA,,1,101/4,518579,0,0
19,7069_RO,7069_418,OS. ŚLĄSKIE,,0,19/1,518286,0,0
6,7069_RO,7069_419,OS. BRANIBORSKIE,,0,6/1,518284,0,0
102,7069_RO,7069_4190,DWORZEC GŁÓWNY,,1,101/2,518580,0,0
20,7069_RO,7069_420,PRZYLEP,,0,30/21,518445,0,0
102,7069_RO,7069_4201,DWORZEC GŁÓWNY,,1,101/4,518580,0,0
102,7069_RO,7069_4230,DWORZEC GŁÓWNY,,1,101/2,518580,0,0
19,7069_RO,7069_424,OS. CZARKOWO,,1,19/1,518289,0,0
102,7069_RO,7069_4249,DWORZEC GŁÓWNY,,1,101/4,518580,0,0
102,7069_RO,7069_4254,DWORZEC GŁÓWNY,,1,101/2,518580,0,0
